experiment,dataset,loss,aggregator,pooling,sampler,cache_mode,hop,n_runs_found,ap_mean,ap_std,mean_epoch_time_s,mean_total_time_s,mean_epochs_to_converge
TGN_SEAL-Dept1,dept1,bce,last,target,hybrid,nocache,2hop,2,0.8973416753101764,0.0038079158903970844,261.6727762534505,1704.801961183548,6.5
TGN_SEAL-Dept1,dept1,bce,attn,target,hybrid,nocache,2hop,2,0.9073443784689424,0.008167055516758781,265.52602755064254,4733.269993185997,17.5
TGN_SEAL-Dept1,dept1,focal,last,target,hybrid,nocache,2hop,2,0.9020308718207155,0.005609420959045097,209.35363151629764,3953.3624728918076,20.0
TGN_SEAL-Dept1,dept1,focal,attn,target,hybrid,nocache,2hop,2,0.8978360893216524,0.009322712227255558,192.63851419048035,2791.3411440849304,14.5
TGN_SEAL-Dept2,dept2,bce,last,target,hybrid,nocache,2hop,2,0.9181237759989636,0.003305290975055941,101.51660688221455,964.781824350357,9.5
TGN_SEAL-Dept2,dept2,bce,attn,target,hybrid,nocache,2hop,2,0.9213056797340387,0.0008722741717432925,110.33590756192731,1651.7084379196167,15.0
TGN_SEAL-Dept2,dept2,focal,last,target,hybrid,nocache,2hop,2,0.9160507311363455,0.0010401456928328945,102.2250504543384,1584.590381026268,15.5
TGN_SEAL-Dept2,dept2,focal,attn,target,hybrid,nocache,2hop,2,0.9207418848397977,0.0004642502811824101,110.78914131568028,1440.2588371038437,13.0
TGN_SEAL-Dept3,dept3,bce,last,target,hybrid,nocache,2hop,2,0.7729306870612167,0.009715953132183708,32.77127567299625,556.5516003370285,17.0
TGN_SEAL-Dept3,dept3,bce,attn,target,hybrid,nocache,2hop,2,0.7829629306895943,0.003000710624919578,33.59752893920928,537.9077209234238,16.0
TGN_SEAL-Dept3,dept3,focal,last,target,hybrid,nocache,2hop,2,0.7814775758656352,0.006470068232042492,34.0684056632659,579.1628962755203,17.0
TGN_SEAL-Dept3,dept3,focal,attn,target,hybrid,nocache,2hop,2,0.7865104379492334,0.0003372400813150267,34.260123614399205,634.5190397500992,18.5
TGN_SEAL-Dept4,dept4,bce,last,target,hybrid,nocache,2hop,2,0.8832002528040326,0.00010308538038567017,109.76607622281469,1099.2567615509033,10.0
TGN_SEAL-Dept4,dept4,bce,attn,target,hybrid,nocache,2hop,2,0.8984669937179075,0.003662143094312509,116.04850086264122,1450.477502465248,12.5
TGN_SEAL-Dept4,dept4,focal,last,target,hybrid,nocache,2hop,2,0.8828550393654384,0.00010918242115182109,107.52263661490547,1021.0234786272049,9.5
TGN_SEAL-Dept4,dept4,focal,attn,target,hybrid,nocache,2hop,2,0.8926770127130172,0.00755504268662871,116.57179233376284,2148.618195772171,18.5
