dataset,model,n_runs_found,ap_mean,ap_std,mean_epoch_time_s,mean_total_time_s,mean_epochs_to_converge
calls,DyRep,1,0.8903533848862162,0.0,7.216799966990948,230.93759894371033,32.0
calls,JODIE,1,0.9210838164127937,0.0,3.717050919661651,137.53088402748108,37.0
calls,TGAT,1,0.798285142926275,0.0,9.227504417300224,147.6400706768036,16.0
calls,TGN_NoMem,1,0.798285142926275,0.0,8.771944358944893,140.3511097431183,16.0
calls,TGN_Id,1,0.9176917948843681,0.0,5.1388300818365975,190.1367130279541,37.0
calls,TGN_Time,1,0.9128428024955498,0.0,5.247552394866943,167.9216766357422,32.0
calls,TGN_SEAL,1,0.9663661375888042,0.0,230.5020606164579,6223.555636644363,27.0
calls,TGN_SEAL_3,1,0.9194938771807041,0.0,457.2489401729483,17375.459726572037,38.0
CollegeMsg,TGN_NoMem,1,0.8281693104941932,0.0,9.1759824603796,146.8157193660736,16.0
CollegeMsg,TGN_Id,1,0.7467279977418841,0.0,3.3354204495747886,60.03756809234619,18.0
CollegeMsg,TGN_SEAL,1,0.7399729717743405,0.0,99.14987095197041,594.8992257118225,6.0
email1,DyRep,10,0.7932370806258616,0.014314346875833977,4.155216034268917,73.98343939781189,17.8
email1,JODIE,10,0.7876413570719649,0.01137025856598219,0.9007293790941133,16.77596595287323,18.6
email1,TGAT,10,0.740442098409672,0.008776035872353857,8.237611710495898,219.04211699962616,26.6
email1,TGN_NoMem,10,0.740442098409672,0.008776035872353857,8.27711300214347,220.06585993766785,26.6
email1,TGN_Id,10,0.8416865722596991,0.028163249635842526,1.1605360064224215,28.539176535606384,24.7
email1,TGN_Time,10,0.8397815445386211,0.02232645032400291,1.1657924278755212,25.02469947338104,21.4
email1,TGN_SEAL,10,0.9288186741570849,0.005130894397448014,216.57023097393244,6432.323489260673,29.8
email1,TGN_SEAL_3,10,0.9367872534995338,0.001950457267272943,535.0919483318523,17394.366886639596,32.6
email2,DyRep,10,0.7521423637502213,0.0257047015012919,2.473392340236569,48.751910996437076,19.7
email2,JODIE,10,0.7345548177205683,0.014227360559512495,0.5118143405212575,10.023098063468932,19.6
email2,TGAT,10,0.7297299970859217,0.0074048082038268535,5.178370755164311,65.32346284389496,12.6
email2,TGN_NoMem,10,0.7297299970859217,0.0074048082038268535,5.163976143562433,65.10478029251098,12.6
email2,TGN_Id,10,0.7730431031218212,0.03163735961814612,0.5833661951461729,11.310695219039918,19.4
email2,TGN_Time,10,0.7944641016755731,0.019240698918114855,0.5958991328425126,12.514665937423706,21.0
email2,TGN_SEAL,10,0.9242365195068775,0.0024945164001372827,139.69434329916484,3363.038018321991,24.1
email3,DyRep,10,0.6100861010213563,0.0074973476578975295,0.7497981350596119,22.614790034294128,30.1
email3,JODIE,10,0.621159847528196,0.007605792523769865,0.1443183628367443,3.056205940246582,21.2
email3,TGAT,10,0.6952579930471648,0.004162379642256657,1.6497501489274946,13.879867696762085,8.4
email3,TGN_NoMem,10,0.6938623193519404,0.005234498036183051,1.6090134136733554,12.700017070770263,7.9
email3,TGN_Id,10,0.6214594919279086,0.012980901653224014,0.16206573264399424,3.7020990371704103,22.8
email3,TGN_Time,10,0.6352570125024134,0.0053632489501604565,0.1703574724920388,4.465432572364807,26.2
email3,TGN_SEAL,10,0.7745431456318878,0.0092595146917642,41.14720429993282,1122.7147222042083,27.3
email3,TGN_SEAL_3,10,0.7717096522218554,0.012154570297864386,108.03755903322886,1940.879688167572,18.0
email4,DyRep,10,0.7570610464500985,0.015904761625602573,2.5797631330841937,48.803915524482726,18.9
email4,JODIE,10,0.7138280111222315,0.02967835582558341,0.5142082391854004,7.568501329421997,14.7
email4,TGAT,10,0.7599771016482878,0.005914787832136068,5.395017010566908,117.94066660404205,21.9
email4,TGN_NoMem,10,0.7599771016482878,0.005914787832136068,5.323900475792328,116.83355495929717,21.9
email4,TGN_Id,10,0.77085201479695,0.026744950273809284,0.6014162234934852,10.353459525108338,17.2
email4,TGN_Time,10,0.7893703449189997,0.016385086319613062,0.6208942754028263,11.804175519943238,19.0
email4,TGN_SEAL,10,0.8997326835043797,0.005401800094077681,139.45356698098792,4912.675034928322,35.2
