experiment,dataset,aggregator,pooling,cache_mode,hop,n_runs_found,transductive_ap_mean,transductive_ap_std,inductive_ap_mean,inductive_ap_std,mean_epochs_to_converge
TGN_SEAL-Dept1,dept1,last,target,nocache,2,2,0.941506181670756,0.003593262887665538,0.8727913975344981,0.0037822739566810704,26.5
TGN_SEAL-Dept1,dept1,attn,target,nocache,2,2,0.9443588357755294,0.0015401077252451545,0.8872187337851967,0.0035976847727521855,22.0
TGN_SEAL-Dept2,dept2,last,target,nocache,2,2,0.9311720851064065,0.0007917211031072124,0.9250083354693921,0.0027681457903693807,11.0
TGN_SEAL-Dept2,dept2,attn,target,nocache,2,2,0.935297685211889,3.76551401404801e-05,0.9295786062087614,0.0015419894619682628,20.5
TGN_SEAL-Dept3,dept3,last,target,nocache,2,2,0.7980452640959979,0.001192191631471995,0.7138506853982207,0.0028811107032156724,19.0
TGN_SEAL-Dept3,dept3,attn,target,nocache,2,2,0.8062122259384049,0.007106851243038892,0.6934654098017575,0.008552271264882894,21.5
TGN_SEAL-Dept4,dept4,last,target,nocache,2,2,0.9128951952191752,0.003188852815050436,0.8743280058515085,0.006600745895262383,31.5
TGN_SEAL-Dept4,dept4,attn,target,nocache,2,2,0.9160511962555931,0.0016027539114401024,0.8839575167279703,0.0032442178809902744,25.0
