experiment,dataset,aggregator,pooling,cache_mode,hop,n_runs_found,trans_ap_mean,trans_ap_std,ind_ap_mean,ind_ap_std,mean_epoch_time_s,mean_total_time_s,mean_epochs_to_converge
TGN_SEAL-Dept1,dept1,attn,target,layered,2hop,2,0.9446585541612371,0.0024777683736822986,0.8786996699763578,0.0015084441936106807,179.55476881853596,5382.228636980057,30.0
TGN_SEAL-Dept2,dept2,attn,target,layered,2hop,2,0.9292510998345028,0.0006737035004144021,0.9198509184859154,0.0005062844704850078,98.74853948089812,1728.0964504480362,17.5
TGN_SEAL-Dept3,dept3,attn,target,layered,2hop,2,0.7745706791401129,0.001098492857094624,0.6646499925490057,0.010963394756785816,31.531520711878933,882.383318066597,28.0
TGN_SEAL-Dept4,dept4,attn,target,layered,2hop,2,0.9003011205635485,0.00658369378560969,0.869070940306059,0.0001851699100760551,101.80195796718965,1729.7818627357483,17.0
